1970s#n	senseval2.d001.s037.t003	1970s%1:28:00::
night#n	senseval3.d002.s006.t003	night%1:28:00::
night#n	senseval3.d002.s091.t003	night%1:28:00::
night#n	semeval2013.d001.s008.t003	night%1:28:00::
nightmare#n	senseval3.d000.s095.t006	nightmare%1:09:00::
nitrogen#n	semeval2013.d007.s006.t004	nitrogen%1:27:00::
no#r	senseval2.d000.s015.t009	no%4:02:01::
no#r	senseval2.d000.s051.t003	no%4:02:01::
no.#n	senseval2.d001.s043.t008	no.%1:23:00::
nobel_prize#n	semeval2013.d011.s020.t009	nobel_prize%1:10:00::
nobility#n	semeval2013.d006.s008.t007	nobility%1:07:00::
nobody#n	senseval3.d000.s082.t000	nobody%1:18:00::
nobody#n	senseval3.d000.s083.t001	nobody%1:18:00::
nod#v	senseval3.d000.s052.t003	nod%2:32:00::
nod#v	senseval3.d000.s065.t005	nod%2:32:01::
nod#v	senseval3.d000.s130.t000	nod%2:32:01::
noise#n	senseval3.d000.s108.t005	noise%1:11:00::
normal#a	senseval2.d001.s012.t007	normal%3:00:01::
normal#a	senseval2.d001.s038.t009	normal%3:00:01::
normal#a	senseval2.d001.s039.t004	normal%3:00:01::
normal#a	senseval2.d001.s073.t013	normal%3:00:01::
normally#r	senseval2.d001.s009.t001	normally%4:02:00::
normally#r	senseval2.d001.s010.t013	normally%4:02:00::
normally#r	senseval2.d001.s091.t011	normally%4:02:00::
not#r	semeval2015.d000.s009.t017	not%4:02:00::
not#r	semeval2015.d000.s009.t026	not%4:02:00::
not#r	semeval2015.d000.s010.t003	not%4:02:00::
not#r	semeval2015.d000.s019.t000	not%4:02:00::
not#r	semeval2015.d000.s025.t008	not%4:02:00::
not#r	semeval2015.d000.s028.t008	not%4:02:00::
not#r	semeval2015.d000.s035.t001	not%4:02:00::
not#r	semeval2015.d000.s036.t004	not%4:02:00::
not#r	semeval2015.d001.s002.t001	not%4:02:00::
not#r	semeval2015.d001.s009.t009	not%4:02:00::
not#r	semeval2015.d001.s010.t003	not%4:02:00::
not#r	semeval2015.d001.s019.t002	not%4:02:00::
not#r	semeval2015.d001.s029.t000	not%4:02:00::
not#r	semeval2015.d001.s049.t003	not%4:02:00::
not#r	semeval2015.d003.s017.t007	not%4:02:00::
not#r	semeval2015.d003.s023.t000	not%4:02:00::
note#n	senseval2.d000.s006.t003	note%1:07:00::
note#n	semeval2015.d002.s003.t000	note%1:10:00::
note#v	senseval3.d001.s040.t011	note%2:32:00::
note#v	semeval2007.d000.s006.t000	note%2:32:00::
nothing#n	senseval2.d001.s006.t005	nothing%1:23:00::
nothing#n	senseval3.d000.s089.t002	nothing%1:23:00::
nothing#n	semeval2013.d009.s013.t000	nothing%1:23:00::
notice#v	senseval3.d000.s007.t000	notice%2:39:00::
notice#v	senseval3.d000.s066.t010	notice%2:39:00::
notice#v	senseval3.d000.s083.t002	notice%2:39:00::
notice#v	senseval3.d000.s107.t000	notice%2:39:00::
notice#v	senseval3.d000.s120.t005	notice%2:39:00::
notice#v	senseval3.d002.s072.t002	notice%2:39:00::
notice#v	senseval3.d002.s097.t005	notice%2:39:00::
notice#v	senseval3.d002.s098.t000	notice%2:39:00::
notice#v	senseval3.d002.s125.t004	notice%2:39:00::
notion#n	senseval2.d002.s011.t001	notion%1:09:00::
notion#n	senseval2.d002.s068.t000	notion%1:09:02::
notion#n	semeval2013.d011.s011.t000	notion%1:09:02::
notion#n	semeval2013.d011.s014.t003	notion%1:09:02::
novelist#n	senseval2.d000.s030.t006	novelist%1:18:00::
november#n	semeval2013.d002.s007.t002	november%1:28:00::
now#r	senseval2.d000.s008.t000	now%4:02:00::
now#r	senseval2.d000.s056.t001	now%4:02:00::
now#r	senseval2.d001.s033.t001	now%4:02:04::
now#r	senseval2.d001.s052.t003	now%4:02:04::
now#r	senseval2.d001.s078.t001	now%4:02:04::
now#r	senseval2.d002.s063.t009	now%4:02:04::
now#r	semeval2015.d001.s004.t002	now%4:02:04::
now#r	semeval2015.d001.s027.t000	now%4:02:04::
nowadays#r	semeval2015.d001.s001.t000	nowadays%4:02:00::
nucleotide#n	semeval2015.d000.s023.t009	nucleotide%1:27:00::
numb#a	senseval3.d002.s077.t000	numb%5:00:00:afraid:00
number#n	senseval2.d000.s057.t003	number%1:07:00::
number#n	semeval2007.d000.s024.t005	number%1:07:00::
number#n	semeval2007.d002.s009.t000	number%1:07:00::
number#n	semeval2013.d010.s005.t000	number%1:07:00::
number#n	semeval2013.d010.s013.t000	number%1:07:00::
number#n	semeval2013.d011.s001.t007	number%1:07:00::
number#n	semeval2013.d012.s016.t001	number%1:07:00::
number#n	semeval2013.d012.s019.t002	number%1:07:00::
number_one#n	semeval2013.d010.s004.t001	number_one%1:24:00::
nurse#v	senseval3.d000.s026.t006	nurse%2:37:00::
nut#n	senseval3.d000.s141.t000	nut%1:18:02::
nutrient#n	semeval2013.d007.s001.t003	nutrient%1:03:00::
obligation#n	semeval2013.d000.s017.t005	obligation%1:04:00::
obscure#a	senseval2.d001.s077.t003	obscure%5:00:00:inglorious:00
obscure#a	senseval3.d000.s080.t004	obscure%5:00:00:unclear:00
observe#v	senseval2.d000.s062.t005	observe%2:32:00::
observe#v	senseval2.d001.s076.t014	observe%2:39:01::
observer#n	semeval2013.d000.s014.t006	observer%1:18:01::
obsession#n	senseval2.d000.s032.t002	obsession%1:09:00::
obstacle#n	semeval2013.d000.s002.t004	obstacle%1:09:00::
obtain#v	semeval2015.d000.s011.t002	obtain%2:40:00::
obvious#a	senseval2.d000.s045.t013	obvious%3:00:00::
obvious#a	senseval2.d001.s027.t000	obvious%3:00:00::
occasion#n	senseval3.d000.s011.t004	occasion%1:11:00::
occasion#n	semeval2013.d006.s024.t004	occasion%1:11:00::
occasion#n	semeval2013.d009.s002.t000	occasion%1:11:01::
occasionally#r	senseval2.d001.s042.t000	occasionally%4:02:00::
occupy#v	senseval3.d001.s019.t010	occupy%2:42:01::
occur#v	senseval2.d000.s021.t002	occur%2:30:00::
occur#v	senseval2.d001.s019.t012	occur%2:42:03::
occur#v	senseval2.d001.s059.t017	occur%2:30:00::
occur#v	semeval2007.d002.s026.t001	occur%2:30:00::
ocean#n	senseval3.d002.s119.t004	ocean%1:17:00::
october#n	semeval2013.d008.s006.t004	october%1:28:00::
octogenarian#n	senseval2.d000.s010.t004	octogenarian%1:18:00::
of_course#r	senseval2.d002.s006.t010	of_course%4:02:00::
of_course#r	senseval2.d002.s078.t001	of_course%4:02:00::
of_course#r	senseval3.d000.s075.t000	of_course%4:02:00::
of_course#r	senseval3.d000.s154.t000	of_course%4:02:00::
offense#n	senseval3.d000.s144.t000	offense%1:04:02::
offer#n	senseval3.d000.s030.t001	offer%1:10:00::
offer#n	semeval2013.d003.s009.t001	offer%1:10:00::
offer#n	semeval2013.d003.s018.t002	offer%1:10:00::
offer#n	semeval2013.d011.s016.t006	offer%1:10:00::
offer#v	senseval3.d000.s025.t006	offer%2:40:00::
offer#v	semeval2007.d001.s002.t000	offer%2:40:00::
offhand#a	senseval3.d000.s114.t003	offhand%5:00:00:careless:00
office#n	senseval3.d001.s010.t006	office%1:26:00::
office#n	senseval3.d001.s013.t001	office%1:26:00::
office#n	senseval3.d001.s021.t011	office%1:26:00::
office#n	senseval3.d001.s023.t007	office%1:26:00::
office#n	senseval3.d001.s025.t010	office%1:26:00::
office#n	senseval3.d001.s029.t021	office%1:26:00::
office#n	senseval3.d001.s039.t008	office%1:14:01::
office#n	senseval3.d001.s039.t019	office%1:14:01::
official#n	semeval2007.d001.s013.t007	official%1:18:01::
official#n	semeval2013.d000.s007.t004	official%1:18:01::
official#n	semeval2013.d000.s013.t004	official%1:18:01::
official#n	semeval2013.d000.s024.t000	official%1:18:01::
official#n	semeval2015.d002.s006.t005	official%1:18:01::
often#r	senseval2.d000.s034.t001	often%4:02:00::
often#r	senseval2.d000.s035.t005	often%4:02:00::
often#r	senseval2.d000.s037.t009	often%4:02:00::
often#r	senseval2.d001.s058.t008	often%4:02:00::
often#r	senseval2.d001.s059.t000	often%4:02:00::
often#r	senseval2.d001.s060.t005	often%4:02:00::
often#r	senseval2.d001.s080.t004	often%4:02:00::
often#r	senseval2.d002.s019.t010	often%4:02:00::
often#r	senseval2.d002.s072.t003	often%4:02:00::
oil#n	semeval2013.d003.s002.t004	oil%1:27:01::
oil#n	semeval2013.d003.s007.t001	oil%1:27:01::
oil_company#n	semeval2013.d003.s000.t001	oil_company%1:14:00::
oil_company#n	semeval2013.d003.s001.t004	oil_company%1:14:00::
oil_company#n	semeval2013.d003.s002.t001	oil_company%1:14:00::
oil_company#n	semeval2013.d003.s010.t007	oil_company%1:14:00::
oil_industry#n	semeval2013.d003.s002.t008	oil_industry%1:14:00::
oil_industry#n	semeval2013.d003.s007.t004	oil_industry%1:14:00::
ok#a	senseval3.d002.s011.t008	ok%5:00:00:satisfactory:00
ok#a	semeval2015.d001.s050.t002	ok%5:00:00:satisfactory:00
old#a	senseval3.d000.s017.t005	old%3:00:01::
old#a	senseval3.d002.s011.t003	old%3:00:01::
old#a	senseval3.d002.s066.t003	old%3:00:02::
old#a	senseval3.d002.s066.t005	old%3:00:02::
old#a	senseval3.d002.s081.t007	old%3:00:01::
old#a	semeval2015.d002.s017.t010	old%3:00:02::
old#a	semeval2015.d002.s018.t011	old%3:00:02::
old_age#n	senseval2.d000.s013.t001	old_age%1:28:00::
on_the_spur_of_the_moment#r	senseval3.d000.s014.t004	on_the_spur_of_the_moment%4:02:00::
on_the_way#r	senseval3.d000.s025.t002	on_the_way%4:02:00::
on_the_way#r	senseval3.d000.s071.t006	on_the_way%4:02:00::
on_the_whole#r	senseval2.d002.s024.t003	on_the_whole%4:02:00::
once#r	senseval2.d000.s007.t006	once%4:02:01::
once#r	senseval2.d000.s021.t004	once%4:02:00::
once#r	senseval2.d000.s057.t006	once%4:02:01::
once#r	senseval2.d001.s019.t014	once%4:02:00::
once#r	senseval2.d002.s018.t002	once%4:02:01::
once#r	semeval2015.d000.s015.t001	once%4:02:00::
oncogene#n	senseval2.d001.s011.t009	oncogene%1:08:00::
oncogene#n	senseval2.d001.s012.t000	oncogene%1:08:00::
oncogene#n	senseval2.d001.s012.t011	oncogene%1:08:00::
oncogene#n	senseval2.d001.s013.t010	oncogene%1:08:00::
one#n	senseval2.d001.s073.t016	one%1:09:00::
one#n	senseval2.d002.s008.t000	one%1:09:00::
one#n	senseval2.d002.s029.t003	one%1:09:00::
one#n	senseval2.d002.s071.t007	one%1:09:00::
one#n	senseval2.d002.s080.t004	one%1:09:00::
one#n	senseval3.d002.s087.t002	one%1:09:00::
one#n	senseval3.d002.s087.t004	one%1:09:00::
one#n	semeval2007.d001.s031.t000	one%1:09:00::
one#n	semeval2013.d000.s004.t004	one%1:09:00::
one#n	semeval2013.d000.s012.t006	one%1:09:00::
one#n	semeval2013.d011.s014.t005	one%1:09:00::
one#n	semeval2013.d011.s016.t003	one%1:09:00::
onerous#a	senseval3.d001.s041.t024	onerous%5:00:00:heavy:02
only#r	senseval2.d000.s008.t001	only%4:02:02::
only#r	senseval2.d000.s017.t013	only%4:02:01::
only#r	senseval2.d000.s021.t003	only%4:02:02::
only#r	senseval2.d000.s053.t006	only%4:02:02::
only#r	senseval2.d000.s055.t005	only%4:02:02::
only#r	senseval2.d001.s006.t000	only%4:02:05::
only#r	senseval2.d001.s013.t015	only%4:02:03::
only#r	senseval2.d001.s016.t012	only%4:02:02::
only#r	senseval2.d001.s020.t008	only%4:02:02::
only#r	senseval2.d001.s061.t005	only%4:02:01::
only#r	senseval2.d001.s089.t003	only%4:02:02::
only#r	senseval2.d002.s010.t008	only%4:02:01::
only#r	senseval2.d002.s034.t007	only%4:02:03::
only#r	senseval2.d002.s042.t004	only%4:02:03::
only#r	semeval2015.d000.s011.t001	only%4:02:03::
only#r	semeval2015.d000.s013.t000	only%4:02:03::
only#r	semeval2015.d003.s019.t003	only%4:02:01::
only_if#r	semeval2015.d001.s023.t004	only_if%4:02:00::
ooze#v	senseval3.d002.s086.t012	ooze%2:38:00::
open#a	senseval2.d002.s044.t007	open%5:00:00:unsettled:02
open#a	senseval3.d002.s012.t006	open%3:00:01::
open#v	senseval2.d001.s025.t012	open%2:30:00::
open#v	senseval3.d000.s016.t001	open%2:35:00::
open_university#n	semeval2013.d007.s013.t011	open_university%1:14:00::
operate#v	semeval2015.d001.s028.t001	operate%2:35:00::
operation#n	semeval2015.d001.s001.t004	operation%1:04:01::
operation#n	semeval2015.d001.s022.t003	operation%1:04:01::
operator#n	semeval2015.d001.s018.t004	operator%1:24:00::
operator#n	semeval2015.d001.s019.t001	operator%1:24:00::
operator#n	semeval2015.d001.s030.t004	operator%1:24:00::
opinion#n	senseval2.d002.s010.t010	opinion%1:09:00::
opinion#n	semeval2013.d002.s006.t004	opinion%1:09:00::
opponent#n	senseval3.d001.s026.t010	opponent%1:18:02::
opponent#n	semeval2013.d009.s010.t002	opponent%1:18:00::
opportunity#n	semeval2013.d011.s000.t002	opportunity%1:26:00::
opposite#n	senseval3.d001.s005.t001	opposite%1:24:03::
option#n	senseval2.d002.s054.t002	option%1:09:00::
option#n	semeval2013.d000.s005.t001	option%1:09:00::
order#n	senseval2.d000.s020.t005	order%1:14:00::
organisation#n	semeval2013.d011.s022.t002	organisation%1:14:01::
organisation#n	semeval2015.d002.s001.t015	organisation%1:14:00::
organisation#n	semeval2015.d002.s006.t010	organisation%1:14:00::
organisation#n	semeval2015.d002.s011.t008	organisation%1:14:01::
organise#v	semeval2015.d002.s000.t003	organise%2:41:00::
organism#n	semeval2013.d007.s003.t000	organism%1:03:00::
organism#n	semeval2013.d007.s013.t002	organism%1:03:00::
organism#n	semeval2013.d007.s020.t001	organism%1:03:00::
organization#n	semeval2007.d000.s030.t001	organization%1:14:00::
organization#n	semeval2013.d006.s008.t005	organization%1:14:00::
organization#n	semeval2013.d009.s015.t004	organization%1:14:00::
orient#v	semeval2015.d001.s004.t001	orient%2:30:00::
osteopath#n	semeval2013.d005.s012.t004	osteopath%1:18:00::
other#a	senseval2.d000.s007.t001	other%3:00:00::
other#a	senseval2.d000.s027.t010	other%3:00:00::
other#a	senseval2.d001.s016.t014	other%3:00:00::
other#a	senseval2.d001.s022.t014	other%3:00:00::
other#a	senseval2.d001.s031.t002	other%3:00:00::
other#a	senseval2.d001.s033.t009	other%3:00:00::
other#a	senseval2.d001.s055.t009	other%3:00:00::
other#a	senseval2.d001.s066.t002	other%3:00:00::
other#a	senseval2.d001.s078.t005	other%3:00:00::
other#a	senseval2.d001.s084.t003	other%3:00:00::
other#a	senseval2.d001.s088.t008	other%3:00:00::
other#a	senseval2.d002.s037.t002	other%3:00:00::
other#a	senseval2.d002.s058.t006	other%3:00:00::
other#a	senseval2.d002.s061.t014	other%3:00:00::
other#a	senseval2.d002.s063.t013	other%3:00:00::
other#a	senseval3.d000.s067.t008	other%3:00:00::
other#a	senseval3.d000.s110.t003	other%5:00:00:past:00
other#a	senseval3.d000.s112.t002	other%3:00:00::
other#a	senseval3.d000.s123.t001	other%3:00:00::
other#a	senseval3.d000.s143.t004	other%3:00:00::
other#a	senseval3.d001.s013.t008	other%3:00:00::
other#a	senseval3.d001.s016.t012	other%3:00:00::
other#a	senseval3.d001.s020.t019	other%3:00:00::
other#a	senseval3.d001.s040.t020	other%3:00:00::
other#a	senseval3.d001.s041.t004	other%3:00:00::
other#a	senseval3.d001.s045.t004	other%3:00:00::
other#a	semeval2015.d000.s009.t013	other%3:00:00::
other#a	semeval2015.d000.s018.t010	other%3:00:00::
other#a	semeval2015.d001.s028.t005	other%3:00:00::
other#a	semeval2015.d003.s005.t006	other%3:00:00::
other#a	semeval2015.d003.s009.t003	other%3:00:00::
other#a	semeval2015.d003.s019.t005	other%3:00:00::
other#a	semeval2015.d003.s019.t008	other%3:00:00::
otherwise#r	senseval2.d001.s004.t011	otherwise%4:02:01::
out_of_sight#a	senseval3.d000.s109.t002	out_of_sight%5:00:00:invisible:00
outcome#n	semeval2013.d009.s004.t005	outcome%1:19:00::
outcome#n	semeval2013.d009.s008.t003	outcome%1:11:00::
outlet#n	semeval2013.d003.s008.t009	outlet%1:06:01::
outline#n	semeval2013.d000.s008.t000	outline%1:09:00::
outpost#n	senseval3.d002.s003.t003	outpost%1:14:00::
output#n	semeval2013.d003.s018.t006	output%1:04:00::
output#n	semeval2013.d008.s011.t003	output%1:23:00::
outside#a	senseval2.d002.s077.t007	outside%5:00:00:external:00
outside#a	senseval3.d002.s100.t015	outside%3:00:04::
over#a	senseval2.d001.s072.t005	over%5:00:01:finished:01
overall#a	senseval3.d001.s020.t016	overall%5:00:00:gross:00
overall#a	semeval2015.d002.s013.t007	overall%5:00:00:general:00
overhaul#n	semeval2013.d009.s003.t005	overhaul%1:04:01::
overtone#n	senseval3.d000.s095.t005	overtone%1:10:00::
own#a	senseval2.d000.s007.t007	own%5:00:00:personal:00
own#a	senseval2.d002.s035.t006	own%5:00:00:personal:00
own#a	senseval3.d001.s020.t005	own%5:00:00:personal:00
own#a	senseval3.d001.s020.t022	own%5:00:00:personal:00
owner#n	semeval2015.d003.s018.t002	owner%1:18:02::
ownership#n	semeval2007.d001.s009.t003	ownership%1:21:00::
oxygen#n	semeval2013.d007.s006.t005	oxygen%1:27:00::
package#n	semeval2015.d000.s002.t007	package%1:14:00::
paint#n	senseval3.d002.s024.t001	paint%1:06:00::
paint_a_picture#v	senseval2.d001.s001.t006	paint_a_picture%2:32:00::
pair#n	senseval2.d001.s041.t009	pair%1:23:00::
pallor#n	senseval3.d000.s083.t004	pallor%1:07:00::
panama#n	semeval2013.d010.s005.t003	panama%1:15:00::
pap#n	senseval2.d002.s022.t003	pap%1:10:00::
pap#n	senseval2.d002.s044.t004	pap%1:10:00::
paper#n	semeval2013.d000.s025.t008	paper%1:27:00::
paperwork#n	senseval2.d002.s062.t010	paperwork%1:04:00::
par#n	semeval2013.d003.s017.t001	par%1:26:00::
paradox#n	senseval2.d002.s063.t001	paradox%1:10:00::
parent#n	senseval2.d001.s014.t004	parent%1:18:00::
parent#n	senseval2.d001.s038.t008	parent%1:18:00::
parent#n	senseval2.d001.s043.t009	parent%1:18:00::
parent#n	senseval2.d002.s004.t007	parent%1:18:00::
parent#n	senseval2.d002.s006.t003	parent%1:18:00::
parent#n	senseval2.d002.s012.t001	parent%1:18:00::
parent#n	senseval2.d002.s013.t002	parent%1:18:00::
parent#n	senseval2.d002.s051.t000	parent%1:18:00::
parent#n	senseval2.d002.s052.t000	parent%1:18:00::
parent#n	senseval2.d002.s054.t000	parent%1:18:00::
parental#a	senseval2.d002.s050.t007	parental%3:00:00::
parish#n	senseval2.d000.s054.t009	parish%1:14:00::
parishioner#n	senseval2.d000.s004.t000	parishioner%1:18:00::
parking_lot#n	senseval3.d002.s091.t006	parking_lot%1:15:00::
parliament#n	senseval2.d000.s049.t001	parliament%1:14:00::
parliament#n	semeval2015.d002.s008.t017	parliament%1:14:00::
parliament#n	semeval2015.d002.s008.t020	parliament%1:14:00::
parser#n	semeval2015.d001.s018.t000	parser%1:10:00::
part#n	senseval3.d001.s046.t005	part%1:24:00::
part#n	senseval3.d002.s041.t000	part%1:09:00::
part#n	senseval3.d002.s051.t001	part%1:06:00::
part#n	senseval3.d002.s080.t002	part%1:09:00::
part#n	semeval2013.d006.s008.t000	part%1:24:00::
part#n	semeval2013.d006.s021.t002	part%1:24:00::
part#n	semeval2013.d007.s014.t000	part%1:24:00::
part#n	semeval2013.d007.s026.t004	part%1:24:00::
part#n	semeval2015.d000.s002.t010	part%1:09:00::
part#n	semeval2015.d000.s003.t009	part%1:09:00::
part#n	semeval2015.d000.s009.t014	part%1:17:00::
part#n	semeval2015.d000.s020.t006	part%1:09:00::
part#n	semeval2015.d002.s005.t005	part%1:09:00::
partial#a	senseval3.d001.s007.t004	partial%5:00:00:incomplete:00
partial#a	senseval3.d001.s028.t003	partial%5:00:00:incomplete:00
participant#n	semeval2013.d000.s020.t005	participant%1:18:00::
participant#n	semeval2015.d002.s001.t000	participant%1:18:00::
participate#v	senseval3.d001.s036.t018	participate%2:41:00::
participate#v	semeval2007.d000.s030.t002	participate%2:41:00::
participation#n	semeval2013.d006.s018.t006	participation%1:04:00::
participation#n	semeval2015.d002.s005.t010	participation%1:04:00::
particular#a	senseval3.d001.s016.t005	particular%5:00:02:specific:00
particular#a	semeval2015.d002.s016.t004	particular%5:00:00:uncommon:00
particular#a	semeval2015.d003.s023.t002	particular%5:00:00:uncommon:00
particularly#r	senseval2.d000.s059.t006	particularly%4:02:00::
partisan#a	senseval3.d001.s024.t003	partisan%3:00:00::
partly#r	senseval2.d000.s055.t006	partly%4:02:00::
partner#n	semeval2007.d001.s005.t003	partner%1:18:00::
partner#n	semeval2007.d001.s009.t000	partner%1:18:00::
partner#n	semeval2007.d001.s017.t001	partner%1:18:00::
party#n	senseval3.d001.s001.t009	party%1:14:01::
party#n	senseval3.d001.s004.t009	party%1:14:01::
party#n	senseval3.d001.s040.t007	party%1:14:01::
party#n	senseval3.d001.s045.t010	party%1:14:01::
party#n	semeval2013.d012.s006.t001	party%1:18:00::
pass#v	senseval2.d002.s020.t004	pass%2:41:08::
pass#v	senseval3.d000.s026.t004	pass%2:42:00::
pass#v	senseval3.d000.s067.t003	pass%2:38:03::
pass#v	senseval3.d000.s071.t003	pass%2:38:05::
pass#v	senseval3.d002.s017.t003	pass%2:38:03::
pass#v	senseval3.d002.s055.t003	pass%2:38:05::
pass#v	semeval2007.d002.s009.t001	pass%2:41:08::
passion#n	senseval2.d000.s030.t008	passion%1:09:00::
passion#n	senseval2.d000.s033.t000	passion%1:09:00::
passion#n	semeval2013.d005.s006.t008	passion%1:12:00::
passion#n	semeval2013.d005.s009.t009	passion%1:12:00::
past#a	senseval2.d002.s063.t008	past%3:00:00::
past#a	senseval3.d001.s000.t013	past%3:00:00::
past#a	senseval3.d001.s004.t002	past%3:00:00::
past#a	senseval3.d001.s019.t004	past%3:00:00::
past#n	semeval2013.d012.s002.t004	past%1:28:01::
past#n	semeval2015.d000.s010.t009	past%1:28:01::
past#n	semeval2015.d000.s027.t016	past%1:28:01::
past#n	semeval2015.d000.s028.t012	past%1:28:01::
past#n	semeval2015.d000.s034.t003	past%1:28:01::
past#n	semeval2015.d000.s035.t004	past%1:28:01::
path#n	semeval2007.d001.s004.t001	path%1:04:00::
path#n	semeval2013.d000.s002.t005	path%1:04:00::
patient#n	senseval2.d001.s092.t002	patient%1:18:00::
patient#n	semeval2015.d000.s009.t016	patient%1:18:00::
patient#n	semeval2015.d000.s010.t002	patient%1:18:00::
patient#n	semeval2015.d000.s010.t005	patient%1:18:00::
patient#n	semeval2015.d000.s014.t007	patient%1:18:00::
patient#n	semeval2015.d000.s016.t002	patient%1:18:00::
patient#n	semeval2015.d000.s018.t005	patient%1:18:00::
patient#n	semeval2015.d000.s019.t003	patient%1:18:00::
patient#n	semeval2015.d000.s025.t007	patient%1:18:00::
patient#n	semeval2015.d000.s027.t009	patient%1:18:00::
patient#n	semeval2015.d000.s028.t007	patient%1:18:00::
patient#n	semeval2015.d000.s029.t005	patient%1:18:00::
patient#n	semeval2015.d000.s031.t003	patient%1:18:00::
patient#n	semeval2015.d000.s032.t000	patient%1:18:00::
patient#n	semeval2015.d000.s033.t001	patient%1:18:00::
patient#n	semeval2015.d000.s034.t000	patient%1:18:00::
patient#n	semeval2015.d000.s035.t000	patient%1:18:00::
patient#n	semeval2015.d000.s036.t002	patient%1:18:00::
patient#n	semeval2015.d000.s037.t001	patient%1:18:00::
patient#n	semeval2015.d003.s014.t005	patient%1:18:00::
pattern#n	senseval2.d000.s022.t002	pattern%1:09:00::
pattern#n	senseval3.d001.s005.t000	pattern%1:04:00::
pattern#n	senseval3.d001.s019.t003	pattern%1:04:00::
pattern#n	senseval3.d001.s031.t008	pattern%1:04:00::
pattern#n	senseval3.d001.s043.t004	pattern%1:04:00::
pattern#n	semeval2015.d002.s011.t006	pattern%1:09:01::
pause#v	senseval3.d000.s121.t000	pause%2:42:00::
pavement#n	senseval3.d000.s082.t007	pavement%1:06:01::
pay#n	semeval2013.d011.s018.t010	pay%1:21:01::
pay#n	semeval2013.d011.s019.t003	pay%1:21:01::
pay#v	senseval3.d000.s122.t000	pay%2:40:14::
pay#v	semeval2015.d002.s016.t006	pay%2:32:00::
pay_off#v	senseval3.d000.s128.t002	pay_off%2:40:00::
peaceful#a	senseval3.d002.s029.t005	peaceful%3:00:00::
peak#n	semeval2013.d010.s009.t000	peak%1:26:00::
peal#n	senseval2.d000.s006.t006	peal%1:11:00::
peal#v	senseval2.d000.s013.t009	peal%2:39:00::
peculiar#a	senseval2.d000.s000.t002	peculiar%5:00:00:specific:00
peculiar#a	senseval3.d001.s019.t002	peculiar%5:00:00:characteristic:00
peculiar#a	senseval3.d001.s043.t003	peculiar%5:00:00:characteristic:00
peculiarity#n	senseval2.d000.s000.t006	peculiarity%1:07:02::
pediatrician#n	senseval2.d001.s037.t004	pediatrician%1:18:00::
peer#v	senseval3.d000.s001.t000	peer%2:39:00::
people#n	senseval2.d000.s047.t003	people%1:14:00::
people#n	senseval2.d001.s036.t001	people%1:14:00::
people#n	senseval2.d001.s087.t001	people%1:14:00::
people#n	senseval2.d002.s003.t014	people%1:14:00::
people#n	senseval2.d002.s010.t003	people%1:14:00::
people#n	senseval2.d002.s025.t006	people%1:14:00::
people#n	senseval3.d000.s047.t003	people%1:14:00::
people#n	senseval3.d000.s077.t001	people%1:14:00::
people#n	senseval3.d002.s094.t002	people%1:14:00::
people#n	senseval3.d002.s106.t002	people%1:14:00::
people#n	semeval2007.d000.s006.t001	people%1:14:00::
people#n	semeval2007.d000.s008.t000	people%1:14:00::
people#n	semeval2007.d001.s035.t001	people%1:14:00::
people#n	semeval2013.d000.s025.t001	people%1:14:00::
people#n	semeval2013.d011.s012.t004	people%1:14:00::
people#n	semeval2015.d003.s023.t004	people%1:14:03::
percent#n	senseval3.d001.s001.t003	percent%1:24:00::
percent#n	senseval3.d001.s002.t002	percent%1:24:00::
percent#n	semeval2013.d000.s008.t003	percent%1:24:00::
percent#n	semeval2013.d000.s008.t007	percent%1:24:00::
percent#n	semeval2013.d000.s009.t002	percent%1:24:00::
percentage#n	senseval3.d001.s002.t000	percentage%1:24:00::
percentage#n	senseval3.d001.s004.t007	percentage%1:24:00::
perfection#n	senseval2.d000.s030.t014	perfection%1:26:00::
perform#v	senseval2.d000.s031.t008	perform%2:36:00::
perform#v	semeval2015.d000.s001.t008	perform%2:36:00::
perform#v	semeval2015.d003.s001.t008	perform%2:36:00::
performance#n	senseval2.d002.s049.t006	performance%1:04:00::
performance#n	senseval2.d002.s061.t010	performance%1:04:00::
performance#n	senseval2.d002.s063.t016	performance%1:04:00::
performance#n	senseval2.d002.s079.t009	performance%1:04:03::
performance#n	semeval2013.d001.s001.t004	performance%1:04:00::
performance#n	semeval2013.d008.s020.t001	performance%1:22:00::
performance#n	semeval2013.d008.s024.t000	performance%1:22:00::
perhaps#r	senseval2.d001.s010.t002	perhaps%4:02:00::
perhaps#r	senseval2.d001.s036.t008	perhaps%4:02:00::
perimeter#n	semeval2013.d001.s005.t001	perimeter%1:25:00::
period#n	semeval2013.d000.s008.t006	period%1:28:00::
period#n	semeval2013.d001.s013.t000	period%1:28:02::
period_of_time#n	semeval2015.d003.s021.t010	period_of_time%1:28:00::
peripheral_vision#n	senseval2.d000.s027.t007	peripheral_vision%1:09:00::
permit#v	senseval2.d002.s066.t001	permit%2:32:00::
permit#v	senseval2.d002.s067.t004	permit%2:41:00::
person#n	senseval2.d001.s016.t000	person%1:03:00::
person#n	semeval2007.d000.s009.t003	person%1:03:00::
person#n	semeval2007.d000.s016.t004	person%1:03:00::
